,model.backbone.freeze_at,model.anchor_generator.sizes,model.anchor_generator.aspect_ratios,solver.BASE_LR,model.roi_heads.batch_size_per_image,pruned,score
0,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00036960798390725297,512,True,11.1743121311288
1,1,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00021735561117118278,512,True,54.94804808345278
2,0,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00022912316850363896,256,True,10.060590741429912
3,1,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0001558216693586024,512,True,5.775501164193584
4,1,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00011921604653329111,512,True,4.082549195076987
5,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003552962672567455,256,False,66.25247255085837
6,0,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00021197565912830238,256,True,8.609625207835814
7,0,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00026710596107806583,128,True,13.351452278946754
8,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0002010936249514623,512,True,8.939640639177087
9,1,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00014186666069824848,256,True,11.648762347429626
10,0,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0001474558106191723,512,True,5.2707607156927825
11,0,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0002903930490193738,512,True,53.082627672663165
12,1,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00039324259727989424,256,True,64.62665035176698
13,2,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00031332665984375993,512,True,53.657909660805956
14,2,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00016701529760146527,512,True,3.639075582391261
15,0,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003954944644596869,512,True,55.68979258757668
16,1,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00010442341342114316,128,True,5.145126172083782
17,0,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00015948296272764832,512,True,52.65189680125335
18,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.000292632201243641,256,True,13.922164280708888
19,0,"[[32, 64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.000365785306661018,128,True,54.623751061167106
20,2,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0001533328776769052,256,True,13.146253848358258
21,2,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00039220846673123527,256,True,64.43085653680649
22,2,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00017801064037258337,256,True,10.680883202481327
23,0,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003319231524128715,128,True,14.068329179065225
24,2,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00036065903601184795,128,True,54.08707435050681
25,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00014133400645560917,512,True,6.317308421399728
26,2,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.0001347572574130945,128,True,11.679694148415651
27,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00033080173424459544,128,True,64.8756472140945
28,1,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003202273404637045,128,False,65.84582012912634
29,1,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.00022801958287838232,128,True,54.23855873802326
30,2,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00014211263964550582,128,True,4.004687311180427
31,1,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.0001235750823650607,256,True,3.7486966250374056
32,0,"[[128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00011210990285979906,128,True,6.469387953331443
33,0,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0002416863173134005,512,True,10.03626667196676
34,1,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00019029733834688615,128,True,8.324203843186707
35,0,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003460896403821838,256,True,12.233678966525057
36,1,"[[64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00018473490081100203,512,True,8.431561182785668
37,1,"[[128, 256, 512]]","[0.5, 1.0, 2.0]",0.00022822038498629367,512,True,13.862883729657376
38,0,"[[32, 64, 128, 256, 512]]","[0.25, 0.5, 1.0, 2.0]",0.00013362150113695387,128,True,9.417284226537147
39,2,"[[64, 128, 256, 512]]","[0.5, 1.0, 2.0]",0.0003989038355105383,128,True,65.01703471642186
